Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
comp-snacks-comfort,Comfort Snacks,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,homesick",FALSE,Title,Default Title,COMP-SNACKS-COMFORT,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-homesick,Coaching Cards — Campus Engagement,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,homesick",FALSE,Title,Default Title,COMP-CARDS-HOMESICK,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-planner,Study & Workload Planning Supplies,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,study",FALSE,Title,Default Title,COMP-PLANNER,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-timer,Focus Timer,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,study",FALSE,Title,Default Title,COMP-TIMER,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-snacks-study,Study Snacks,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,study",FALSE,Title,Default Title,COMP-SNACKS-STUDY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-study,Coaching Cards — Study Strategies,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,study",FALSE,Title,Default Title,COMP-CARDS-STUDY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-tissues,Soft Facial Tissues,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-TISSUES,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-throat-drops,Throat Drops,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-THROATDROPS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-soup,Soup,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-SOUP,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-crackers,Crackers,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-CRACKERS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-tea,Tea,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-TEA,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-honey-bear,Mini Honey Bear,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-HONEYBEAR,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-sick,Coaching Cards — Communicating with Professors,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,sick",FALSE,Title,Default Title,COMP-CARDS-SICK,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-sleep-comforts,Sleep-Friendly Comforts,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-SLEEP,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-hydration,Hydration Helpers,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-HYDRATION,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-supplies-finals,School Supplies (Finals),PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-SUPPLIES-FINALS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-snacks-finals,Late-Night Snacks,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-SNACKS-FINALS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-cards-finals,Coaching Cards — Finish Strong,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,finals",FALSE,Title,Default Title,COMP-CARDS-FINALS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-air-spray,Air Freshener Spray,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,refresh",FALSE,Title,Default Title,COMP-AIRSPRAY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-diffuser,Diffuser,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,refresh",FALSE,Title,Default Title,COMP-DIFFUSER,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-sneaker-balls,Sneaker Balls,PLACEHOLDER auto-extracted from marketing copy — confirm exact item.,InstaMom University,Component,"component,needs-review,refresh",FALSE,Title,Default Title,COMP-SNEAKERBALLS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-mints-gum,Mints & Gum,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,refresh",FALSE,Title,Default Title,COMP-MINTS,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-snacks-variety,Assorted Snack Selection,PLACEHOLDER auto-extracted from marketing copy — confirm exact items.,InstaMom University,Component,"component,needs-review,snack",FALSE,Title,Default Title,COMP-SNACKS-VARIETY,shopify,0,deny,manual,0.00,TRUE,TRUE,active
comp-seasonal-goodies,Seasonal Goodies (Rotating),PLACEHOLDER auto-extracted from marketing copy — confirm exact items per season.,InstaMom University,Component,"component,needs-review,seasonal",FALSE,Title,Default Title,COMP-SEASONAL-GOODIES,shopify,0,deny,manual,0.00,TRUE,TRUE,active
